entropy_p,entropy_i,NCE_t,issuer,users,covid_topic,education_topic,environment_topic,reopen_topic,transportation_topic,volunteering_topic,policy_pos,policy_neg,reopen,covid_shenzhen,covid_CHN
-3.63E-06,-0.000439101,-0.000779744,25,143,59,3,11,-2,22,15,0,0,-2.552,0,6
-3.94E-06,-8.90E-06,-0.005675107,18,99,85,11,33,2,13,45,0,0,-1.81192,0,-1
-4.66E-07,0.000543347,-0.001595598,-3,-16,77,14,28,-3,34,61,0,0,-1.2864632,0,-1
2.83E-06,0.000682595,-0.001890215,-4,-64,85,10,29,8,28,66,0,0,-0.913388872,0,4
8.38E-07,-0.000166493,0.000858474,-3,-58,59,9,0,-1,8,16,0,0,-0.648506099,0,-3
4.40E-07,-0.000107229,0.000314608,2,1,-60,-2,-8,1,-4,2,0,0,-0.460439331,0,4
4.60E-08,-0.000308789,-0.000636615,1,8,15,-3,1,-1,1,-4,0,0,-0.326911924,0,-4
1.43E-06,0.000229118,0.002113842,-14,-87,91,2,21,-5,10,14,0,0,-0.232107467,0,-1
2.59E-07,-7.73E-05,-0.000611859,-6,-18,-41,13,-4,-1,-6,6,0.35441801,0,-0.164796301,0,-3
1.47E-06,-1.13E-05,-0.000696859,-10,-34,32,-5,5,3,-5,8,1.537,0,-0.117005374,0,11
1.84E-06,0.000106296,0.000744841,-10,-62,-48,-11,-19,-4,-28,-21,1.09127,0,-0.083073815,0,-11
1.69E-06,0.000516777,0.002858806,-12,-34,-33,-10,7,-9,-17,29,2.31731199,0,-0.058982409,0,1
3.30E-07,-0.000193835,0.000219018,-2,-2,-16,1,-10,3,-1,-2,0,0,-0.04187751,0,8
2.45E-07,-9.90E-05,0.001913038,-1,-27,-50,-6,-4,-1,1,-17,0,0,-0.029733033,0,-4
5.93E-06,0.0006809,-0.001381208,-11,-113,-142,-17,-21,-4,-15,-54,0,0,-0.021110453,0,-6
3.98E-06,-8.72E-05,-0.000986122,-9,-41,-84,-2,-29,-1,-6,-20,0,0,-0.014988421,0,2
6.86E-06,9.57E-05,0.000814444,-6,-123,-126,-7,-36,-2,-33,-58,0.35441801,0,-0.625163431,0,-3
3.38E-06,8.13E-05,0.001041388,-10,-77,-64,-2,16,3,-32,-49,-1.537,0,0,0,18
