entropy_p,entropy_i,NCE_t,issuer,users,tasks,covid_topic,education_topic,environment_topic,reopen_topic,transportation_topic,volunteering_topic,policy,policy_pos,policy_neg,reopen,covid_shenzhen,covid_CHN
0.000142881,0.055576077,0.288930145,551,6061,28020,5934,566,677,326,171,1064,0,0,10.66871323,8.985000833,0,6
0.000143457,0.055697512,0.286068217,554,6042,27897,5882,570,700,323,202,1066,0,0,7.768713227,9.102006207,0,1
0.000145361,0.056325887,0.2893916,542,5996,27880,5873,591,693,329,209,1055,0,0,5.709713227,9.185080023,0,14
0.000149576,0.056781118,0.294305756,529,5888,26755,5666,582,679,314,204,1014,0,0,0,9.244062432,0,20
0.000152398,0.05725858,0.290377201,521,5832,26589,5636,586,679,317,201,1007,0,0,0,9.38846764,0,1
0.000148767,0.056819479,0.289597457,546,5975,26861,5695,589,690,315,223,1022,0,0,0,6.83646764,0,7
0.000144828,0.056810578,0.28392235,564,6074,27140,5780,600,723,317,236,1067,0,0,0,5.02454764,0,6
0.000144362,0.057353925,0.282326752,561,6058,27580,5857,614,751,314,270,1128,0,0,0,3.73808444,0,5
0.000147189,0.05803652,0.280436537,557,5994,28049,5942,624,780,322,298,1194,0,0,0,2.824695568,0,9
0.000148027,0.057870027,0.281295011,554,5936,28142,6001,633,780,321,306,1210,0,0,0,2.176189469,0,6
0.000148467,0.057762798,0.281609619,556,5937,28088,5941,631,772,322,302,1212,0,0,0,1.715750138,0,10
0.000148513,0.057454009,0.280973004,557,5945,28067,5956,628,773,321,303,1208,0,0,0,1.388838214,0,6
0.000149946,0.057683127,0.283086846,543,5858,28117,6047,630,794,316,313,1222,0,0,0,1.156730747,0,5
0.000150205,0.057605853,0.282474987,537,5840,28084,6006,643,790,315,307,1228,0,0.35441801,0,0.991934446,0,2
0.000151679,0.057594569,0.281778128,527,5806,28104,6038,638,795,318,302,1236,0,1.89141801,0,0.874929072,0,13
0.00015352,0.057700865,0.282522969,517,5744,27760,5990,627,776,314,274,1215,10,2.98268801,0,0.791855257,0,2
0.000155215,0.058217642,0.285381775,505,5710,27589,5957,617,783,305,257,1244,0,5.3,0,0.732872848,0,3
0.000155545,0.058023807,0.285600793,503,5708,27590,5941,618,773,308,256,1242,0,5.3,0,0.690995338,0,11
0.00015579,0.05792483,0.287513831,502,5681,27442,5891,612,769,307,257,1225,0,5.3,0,0.661262305,0,7
0.00016172,0.05860573,0.286132623,491,5568,26771,5749,595,748,303,242,1171,0,5.3,0,0.640151852,0,1
0.000165704,0.058518546,0.285146501,482,5527,26310,5665,593,719,302,236,1151,0,5.3,0,0.625163431,0,3
0.000172566,0.058614197,0.285960945,476,5404,25602,5539,586,683,300,203,1093,0,5.65441801,0,0,0,0
0.000175941,0.058695476,0.287002333,466,5327,25170,5475,584,699,303,171,1044,0,4.11741801,0,0,0,18
0.000181013,0.059139957,0.289273784,451,5219,24789,5384,567,701,300,158,1042,0,3.02614801,0,0,0,5
0.00018203,0.059102645,0.28751347,448,5197,24570,5323,566,705,298,158,1046,0,0,0,0,0,18
0.00018343,0.058951014,0.290253541,442,5173,24341,5245,559,703,300,155,1018,0,0,0,0,0,9
0.000185512,0.058994483,0.28415,441,5125,24028,5119,552,707,301,157,1013,0,0,0,0,0,5
0.000190368,0.059030725,0.28158138,428,4999,23557,5069,526,709,299,141,979,0,0,0,0,0,1
0.000190765,0.058478963,0.278898571,423,4957,23194,4905,529,711,296,122,977,0,0,0,0,0,11
0.000194148,0.058506473,0.27528177,427,4894,22926,4778,533,709,297,119,985,0,0,0,0,0,6
0.000193277,0.058008041,0.272084869,434,4922,22797,4715,529,723,302,114,961,0,0,0,0,0,9
0.000193236,0.058447204,0.275297998,434,4899,22554,4661,528,727,301,113,958,0,0,0,0,0,5
0.000194952,0.05822982,0.274087969,432,4850,22466,4665,524,719,297,109,960,0,0,0,0,0,4
0.000195269,0.057533676,0.271910718,430,4837,22240,4672,521,718,299,104,977,0,0,0,0,0,3
0.000194655,0.057990934,0.270516973,441,4852,22054,4681,510,721,291,100,955,0,0,0,0,0,11
0.00019271,0.058097006,0.269459584,447,4869,21738,4659,508,735,291,111,973,0,0,0,0,0,7
0.000201277,0.059272786,0.275460361,436,4718,20244,4381,488,659,273,107,912,0,0,0,0,0,12
0.000206415,0.060166202,0.272503984,429,4607,18899,4103,472,614,261,102,852,0,0,0,0,0,58
0.000206699,0.060510344,0.270393748,429,4600,18916,4072,469,618,267,102,856,0,0,0,0,0,49
0.000203433,0.06045275,0.268426888,435,4670,19739,4238,490,623,275,105,901,0,0,0,0,0,45
0.000200434,0.060376014,0.267927706,448,4728,19740,4267,492,668,271,102,930,0,0,0,0,0,44
0.000199363,0.059886201,0.267336589,458,4686,19460,4196,492,660,266,111,935,0,0,0,0,0,36
0.000202032,0.060476656,0.269235601,454,4649,19320,4221,481,663,264,113,936,0,0,0,0,0,37
0.000200312,0.060302963,0.271682685,445,4717,19225,4212,481,655,261,109,934,0,0,0,0,0,30
0.000202588,0.05968149,0.27182306,445,4666,19096,4111,479,668,251,103,959,0,0,0,0,0,27
0.00020341,0.0597729,0.27122981,446,4693,19080,4122,473,673,245,109,962,0,0,0,0,0,21
