,Sliding window,shenzhen,futian,baoan,pingshan,guangming,longhua,luohu,nanshan,yantian,longgang
76,2020/5/4,0.297799777,0.318138042,0.6577444,0.400661024,0.484553421,1.28411629,0.332730435,0.231216963,0.280386838,0.370836912
77,2020/5/5,0.29490955,0.307636335,0.643149798,0.385570546,0.464778834,1.254154727,0.340289332,0.241046227,0.290089286,0.360788014
78,2020/5/6,0.291979884,0.303809908,0.621532808,0.375175241,0.418553856,2.707917229,0.344426939,0.242465292,0.292275437,0.349826468
79,2020/5/7,0.288930145,0.295359572,0.648378757,0.355912668,0.410419836,2.460010619,0.352543736,0.243696429,0.290436653,0.351697875
80,2020/5/8,0.286068217,0.295128057,0.672202751,0.329311577,0.3997164,1.427974202,0.353584345,0.243336889,0.281926708,0.340196773
81,2020/5/9,0.2893916,0.297913659,0.68161812,0.340210482,0.38623198,2.58307228,0.360732387,0.238063455,0.276754835,0.332516771
82,2020/5/10,0.294305756,0.305257423,0.732494315,0.339949273,0.380808059,1.70470302,0.359653333,0.224007801,0.271339889,0.343498392
83,2020/5/11,0.290377201,0.297517229,0.748520888,0.347174492,0.377607153,1.706242633,0.356628433,0.213875352,0.275009921,0.331964709
84,2020/5/12,0.289597457,0.288706458,0.790194236,0.363214363,0.371345775,1.666048925,0.361480665,0.209959292,0.281937476,0.327107311
85,2020/5/13,0.28392235,0.283111687,0.728965245,0.362096561,0.344928761,1.21523783,0.360679166,0.212278326,0.269205685,0.315041582
86,2020/5/14,0.282326752,0.273402774,0.701025656,0.365614933,0.335698541,1.26486872,0.362592244,0.232227085,0.257025265,0.326444585
87,2020/5/15,0.280436537,0.267629964,0.684820432,0.360711459,0.331828414,1.256658863,0.358017139,0.257006808,0.259403562,0.317756373
88,2020/5/16,0.281295011,0.261543957,0.655070099,0.372361271,0.316483886,1.197749784,0.355933765,0.279234407,0.245046383,0.339409066
89,2020/5/17,0.281609619,0.253964376,0.659450379,0.372337744,0.317503289,1.123962993,0.345566984,0.291771708,0.262165504,0.360013497
90,2020/5/18,0.280973004,0.253092091,0.667970471,0.369873863,0.31971933,1.116706553,0.346317524,0.292886117,0.257102655,0.346631576
91,2020/5/19,0.283086846,0.252947495,0.675115401,0.373660676,0.322426842,1.175334953,0.351635309,0.302394715,0.246484157,0.353745274
92,2020/5/20,0.282474987,0.253058004,0.661504116,0.363420792,0.315406514,1.09912682,0.352566749,0.313821245,0.247491284,0.343556915
93,2020/5/21,0.281778128,0.250057171,0.634223187,0.360128398,0.304154048,1.08489592,0.345609873,0.327921631,0.24645114,0.331083351
94,2020/5/22,0.282522969,0.245932773,0.625144868,0.376277532,0.299735953,1.63892017,0.341809013,0.33601802,0.227614417,0.323560165
95,2020/5/23,0.285381775,0.246631459,0.599451273,0.380894513,0.30330683,1.658344318,0.342854855,0.346692664,0.221676078,0.323229291
96,2020/5/24,0.285600793,0.244850783,0.595213863,0.383595851,0.305135259,2.669022158,0.342934955,0.349461136,0.238034731,0.31842485
97,2020/5/25,0.287513831,0.241798723,0.593176764,0.388905986,0.314467943,2.669022158,0.352754116,0.34429775,0.236231482,0.33879708
98,2020/5/26,0.286132623,0.243625812,0.572492077,0.390840887,0.307540783,2.617626551,0.353526367,0.335668405,0.232630477,0.34662371
99,2020/5/27,0.285146501,0.246070195,0.555444966,0.394277936,0.307699423,2.617626551,0.348937809,0.327027528,0.248876021,0.340694678
100,2020/5/28,0.285960945,0.247281597,0.564562342,0.407009021,0.309549704,2.617626551,0.34597346,0.323184671,0.229182584,0.33491639
101,2020/5/29,0.287002333,0.247139263,0.571011845,0.400152596,0.320094022,2.617626551,0.346938847,0.329221972,0.236810979,0.325696749
102,2020/5/30,0.289273784,0.252497337,0.569408593,0.409433672,0.308428335,2.617626551,0.342901927,0.325029924,0.26266337,0.317663822
103,2020/5/31,0.28751347,0.241505392,0.567297259,0.413423159,0.291742546,2.617626551,0.359665323,0.315197251,0.259196298,0.326318178
104,2020/6/1,0.290253541,0.244782159,0.558168961,0.41516505,0.287857543,2.617626551,0.360930304,0.313080915,0.274753926,0.341367666
105,2020/6/2,0.28415,0.235341702,0.562866835,0.410431232,0.274982442,2.617626551,0.337011646,0.314739415,0.270479965,0.328332143
106,2020/6/3,0.28158138,0.235999828,0.592305406,0.413246494,0.270653812,2.783838827,0.3213568,0.315855349,0.265606684,0.313962444
107,2020/6/4,0.278898571,0.236362027,0.608300127,0.41144453,0.273720253,2.723083931,0.314565556,0.316251675,0.245177688,0.301416294
108,2020/6/5,0.27528177,0.235039568,0.575820049,0.400373535,0.294878506,1.307558843,0.316327023,0.304550091,0.258257947,0.299674585
